,title,artist
0,Are You Gonna Be My Girl?,Jet
1,How About You,Staind
2,Megalomaniac,Incubus
3,Feeling This,Blink 182
4,Love Song,311
5,The Reason,Hoobastank
6,Heel Over Head,Puddle Of Mudd
7,Born Too Slow,The Crystal Method
8,Silver and Cold,AFI
9,I Believe In A Thing Called Love,The Darkness
10,Figured You Out,Nickelback
11,Volcano,Damien Rice
12,Mono,Courtney Love
13,Save Me,Dave Matthews
14,Last Train Home,Lostprophets
15,Numb,Linkin Park
16,Until The Day I Die,Story Of The Year
17,Hit That,The Offspring
18,Seven Nation Army,The White Stripes
19,Still Frame,Trapt
20,The Outsider,A Perfect Circle
21,Fortune Faded,Red Hot Chili Peppers
22,One Horse Town,The Thrills
23,I Miss You,Blink 182
24,Out of Control,Hoobastank
25,She Wants To Move,NERD
26,I Just Don't Know What To Do With Myself,The White Stripes
27,* ,Your Name: 
28,* ,"
 
"
